time,disconnect,reconnect,scanner_start,scanner_stop,scan_trigger
145.53234004974365,0,0,1,0,0
145.53533291816711,1,0,0,0,0
145.53738594055176,2,0,0,0,0
148.5363519191742,0,0,0,0,1
155.32264304161072,0,0,0,0,1
162.1076638698578,0,0,0,0,1
168.93667793273926,0,0,0,0,1
176.2849678993225,0,0,0,0,1
183.4134418964386,0,0,0,0,1
190.23638486862183,0,0,0,0,1
197.52887296676636,0,0,0,0,1
204.40572500228882,0,0,0,0,1
211.85808992385864,0,0,0,0,1
218.8455970287323,0,0,0,0,1
225.6238889694214,0,0,0,0,1
232.43259191513062,0,0,0,0,1
239.19685292243958,0,0,0,0,1
246.01335501670837,0,0,0,0,1
252.84926986694336,0,0,0,0,1
259.6848819255829,0,0,0,0,1
267.48189187049866,0,0,0,0,1
274.4979729652405,0,0,0,0,1
281.24353194236755,0,0,0,0,1
287.98813104629517,0,0,0,0,1
294.76894092559814,0,0,0,0,1
301.5249059200287,0,0,0,0,1
308.30950689315796,0,0,0,0,1
315.07351303100586,0,0,0,0,1
321.9276080131531,0,0,0,0,1
328.79800391197205,0,0,0,0,1
335.5935928821564,0,0,0,0,1
342.346617937088,0,0,0,0,1
349.1573510169983,0,0,0,0,1
356.0252568721771,0,0,0,0,1
362.8039360046387,0,0,0,0,1
369.6764860153198,0,0,0,0,1
376.90000796318054,0,0,0,0,1
383.7171869277954,0,0,0,0,1
390.52502489089966,0,0,0,0,1
397.5888509750366,0,0,0,0,1
404.3599579334259,0,0,0,0,1
411.11249709129333,0,0,0,0,1
417.88840508461,0,0,0,0,1
424.67796897888184,0,0,0,0,1
431.62092900276184,0,0,0,0,1
438.73290395736694,0,0,0,0,1
445.6760849952698,0,0,0,0,1
452.4255380630493,0,0,0,0,1
459.3175048828125,0,0,0,0,1
466.8791148662567,0,0,0,0,1
473.75025606155396,0,0,0,0,1
480.5471348762512,0,0,0,0,1
487.31287908554077,0,0,0,0,1
494.049635887146,0,0,0,0,1
500.85574293136597,0,0,0,0,1
507.765508890152,0,0,0,0,1
514.8514459133148,0,0,0,0,1
521.8369240760803,0,0,0,0,1
528.7850620746613,0,0,0,0,1
535.5802509784698,0,0,0,0,1
542.3450059890747,0,0,0,0,1
549.1180999279022,0,0,0,0,1
556.0251030921936,0,0,0,0,1
562.8331990242004,0,0,0,0,1
563.6229400634766,0,1,0,0,0
567.4164779186249,0,2,0,0,0
567.4166660308838,0,0,0,1,0
