buffer_timestamp,data_throughput,pr4g_queue_occupancy,round
2021-06-02 05:02:37,240K,0.0,0
2021-06-02 05:02:38,240K,0.0,0
2021-06-02 05:02:39,240K,0.0,0
2021-06-02 05:02:40,240K,0.0,0
2021-06-02 05:02:41,240K,0.0,0
2021-06-02 05:02:42,240K,0.0,0
2021-06-02 05:02:43,240K,0.0,0
2021-06-02 05:02:44,240K,0.0,0
2021-06-02 05:02:45,240K,0.0,0
2021-06-02 05:02:46,240K,0.0,0
2021-06-02 05:02:47,240K,0.0,0
2021-06-02 05:02:48,240K,0.0,0
2021-06-02 05:02:49,240K,0.0,0
2021-06-02 05:02:50,240K,0.0,0
2021-06-02 05:02:51,240K,1.0,0
2021-06-02 05:02:52,240K,5.0,0
2021-06-02 05:02:53,240K,8.0,0
2021-06-02 05:02:54,240K,9.0,0
2021-06-02 05:02:55,240K,9.0,0
2021-06-02 05:02:56,240K,6.0,0
2021-06-02 05:02:57,240K,5.0,0
2021-06-02 05:02:58,240K,6.0,0
2021-06-02 05:02:59,240K,5.0,0
2021-06-02 05:03:00,240K,6.0,0
2021-06-02 05:03:01,240K,8.0,0
2021-06-02 05:03:02,240K,13.0,0
2021-06-02 05:03:03,120K,11.0,0
2021-06-02 05:03:04,120K,6.0,0
2021-06-02 05:03:05,120K,7.0,0
2021-06-02 05:03:06,120K,8.0,0
2021-06-02 05:03:07,120K,7.0,0
2021-06-02 05:03:09,120K,8.0,0
2021-06-02 05:03:10,120K,8.0,0
2021-06-02 05:03:11,120K,7.0,0
2021-06-02 05:03:12,120K,7.0,0
2021-06-02 05:03:13,120K,9.0,0
2021-06-02 05:03:14,120K,10.0,0
2021-06-02 05:03:15,120K,8.0,0
2021-06-02 05:03:16,120K,7.0,0
2021-06-02 05:03:17,120K,9.0,0
2021-06-02 05:03:18,120K,7.0,0
2021-06-02 05:03:19,120K,5.0,0
2021-06-02 05:03:20,120K,8.0,0
2021-06-02 05:03:21,120K,11.0,0
2021-06-02 05:03:22,120K,11.0,0
2021-06-02 05:03:23,120K,8.0,0
2021-06-02 05:03:24,120K,7.0,0
2021-06-02 05:03:25,120K,9.0,0
2021-06-02 05:03:26,120K,11.0,0
2021-06-02 05:03:27,120K,10.0,0
2021-06-02 05:03:28,120K,9.0,0
2021-06-02 05:03:29,120K,9.0,0
2021-06-02 05:03:30,120K,7.0,0
2021-06-02 05:03:31,120K,8.0,0
2021-06-02 05:03:32,120K,8.0,0
2021-06-02 05:03:33,120K,7.0,0
2021-06-02 05:03:34,120K,8.0,0
2021-06-02 05:03:35,120K,9.0,0
2021-06-02 05:03:36,120K,8.0,0
2021-06-02 05:03:37,120K,6.0,0
2021-06-02 05:03:38,120K,8.0,0
2021-06-02 05:03:39,120K,8.0,0
2021-06-02 05:03:40,120K,8.0,0
2021-06-02 05:03:41,120K,9.0,0
2021-06-02 05:03:42,60K,8.0,0
2021-06-02 05:03:43,60K,9.0,0
2021-06-02 05:03:44,60K,9.0,0
2021-06-02 05:03:45,60K,9.0,0
2021-06-02 05:03:46,60K,8.0,0
2021-06-02 05:03:47,60K,6.0,0
2021-06-02 05:03:48,60K,7.0,0
2021-06-02 05:03:49,60K,7.0,0
2021-06-02 05:03:50,60K,7.0,0
2021-06-02 05:03:51,60K,8.0,0
2021-06-02 05:03:52,60K,7.0,0
2021-06-02 05:03:53,60K,5.0,0
2021-06-02 05:03:54,60K,7.0,0
2021-06-02 05:03:55,60K,8.0,0
2021-06-02 05:03:56,60K,7.0,0
2021-06-02 05:03:57,60K,6.0,0
2021-06-02 05:03:58,60K,6.0,0
2021-06-02 05:03:59,60K,6.0,0
