buffer_timestamp,data_throughput,pr4g_queue_occupancy,round
2021-06-07 06:02:16,240K,0.0,0
2021-06-07 06:02:17,240K,0.0,0
2021-06-07 06:02:18,240K,0.0,0
2021-06-07 06:02:19,240K,0.0,0
2021-06-07 06:02:20,240K,0.0,0
2021-06-07 06:02:21,240K,0.0,0
2021-06-07 06:02:22,240K,0.0,0
2021-06-07 06:02:23,240K,0.0,0
2021-06-07 06:02:24,240K,0.0,0
2021-06-07 06:02:25,240K,0.0,0
2021-06-07 06:02:26,240K,0.0,0
2021-06-07 06:02:27,240K,0.0,0
2021-06-07 06:02:28,240K,1.0,0
2021-06-07 06:02:29,240K,5.0,0
2021-06-07 06:02:30,240K,8.0,0
2021-06-07 06:02:31,240K,9.0,0
2021-06-07 06:02:32,240K,9.0,0
2021-06-07 06:02:33,240K,7.0,0
2021-06-07 06:02:34,240K,6.0,0
2021-06-07 06:02:35,240K,6.0,0
2021-06-07 06:02:36,240K,6.0,0
2021-06-07 06:02:37,240K,5.0,0
2021-06-07 06:02:38,240K,8.0,0
2021-06-07 06:02:39,240K,13.0,0
2021-06-07 06:02:40,240K,10.0,0
2021-06-07 06:02:41,240K,6.0,0
2021-06-07 06:02:42,120K,7.0,0
2021-06-07 06:02:43,120K,9.0,0
2021-06-07 06:02:44,120K,8.0,0
2021-06-07 06:02:45,120K,8.0,0
2021-06-07 06:02:46,120K,8.0,0
2021-06-07 06:02:47,120K,6.0,0
2021-06-07 06:02:48,120K,7.0,0
2021-06-07 06:02:49,120K,8.0,0
2021-06-07 06:02:50,120K,10.0,0
2021-06-07 06:02:51,120K,8.0,0
2021-06-07 06:02:52,120K,7.0,0
2021-06-07 06:02:53,120K,9.0,0
2021-06-07 06:02:54,120K,7.0,0
2021-06-07 06:02:55,120K,5.0,0
2021-06-07 06:02:56,120K,8.0,0
2021-06-07 06:02:57,120K,11.0,0
2021-06-07 06:02:58,120K,11.0,0
2021-06-07 06:02:59,120K,8.0,0
2021-06-07 06:03:00,120K,8.0,0
2021-06-07 06:03:01,120K,9.0,0
2021-06-07 06:03:02,120K,10.0,0
2021-06-07 06:03:03,120K,10.0,0
2021-06-07 06:03:04,120K,9.0,0
2021-06-07 06:03:05,120K,8.0,0
2021-06-07 06:03:06,120K,9.0,0
2021-06-07 06:03:07,120K,8.0,0
2021-06-07 06:03:08,120K,6.0,0
2021-06-07 06:03:10,120K,7.0,0
2021-06-07 06:03:11,120K,9.0,0
2021-06-07 06:03:12,120K,6.0,0
2021-06-07 06:03:13,120K,8.0,0
2021-06-07 06:03:14,120K,9.0,0
2021-06-07 06:03:15,120K,8.0,0
2021-06-07 06:03:16,120K,7.0,0
2021-06-07 06:03:17,120K,8.0,0
2021-06-07 06:03:18,120K,8.0,0
2021-06-07 06:03:19,120K,10.0,0
2021-06-07 06:03:20,120K,11.0,0
2021-06-07 06:03:21,60K,9.0,0
2021-06-07 06:03:22,60K,7.0,0
2021-06-07 06:03:23,60K,6.0,0
2021-06-07 06:03:24,60K,8.0,0
2021-06-07 06:03:25,60K,7.0,0
2021-06-07 06:03:26,60K,5.0,0
2021-06-07 06:03:27,60K,8.0,0
2021-06-07 06:03:28,60K,7.0,0
2021-06-07 06:03:29,60K,6.0,0
2021-06-07 06:03:31,60K,7.0,0
2021-06-07 06:03:32,60K,8.0,0
2021-06-07 06:03:33,60K,7.0,0
2021-06-07 06:03:34,60K,6.0,0
2021-06-07 06:03:35,60K,6.0,0
2021-06-07 06:03:36,60K,6.0,0
2021-06-07 06:03:37,60K,5.0,0
2021-06-07 06:03:38,60K,6.0,0
2021-06-07 06:03:39,60K,7.0,0
2021-06-07 06:03:40,60K,8.0,0
2021-06-07 06:03:41,60K,7.0,0
2021-06-07 06:03:42,60K,8.0,0
2021-06-07 06:03:43,60K,8.0,0
2021-06-07 06:03:44,60K,6.0,0
2021-06-07 06:03:45,60K,8.0,0
2021-06-07 06:03:46,60K,8.0,0
2021-06-07 06:03:47,60K,7.0,0
2021-06-07 06:03:48,60K,7.0,0
2021-06-07 06:03:49,60K,5.0,0
2021-06-07 06:03:50,60K,6.0,0
2021-06-07 06:03:51,60K,7.0,0
2021-06-07 06:03:52,60K,6.0,0
2021-06-07 06:03:53,60K,7.0,0
2021-06-07 06:03:54,60K,10.0,0
2021-06-07 06:03:55,60K,8.0,0
2021-06-07 06:03:56,60K,7.0,0
2021-06-07 06:03:57,60K,9.0,0
2021-06-07 06:03:58,60K,12.0,0
2021-06-07 06:03:59,60K,10.0,0
2021-06-07 06:04:00,60K,8.0,0
2021-06-07 06:04:01,30K,10.0,0
2021-06-07 06:04:02,30K,9.0,0
2021-06-07 06:04:03,30K,10.0,0
2021-06-07 06:04:04,30K,10.0,0
2021-06-07 06:04:05,30K,12.0,0
2021-06-07 06:04:06,30K,13.0,0
2021-06-07 06:04:07,30K,13.0,0
2021-06-07 06:04:08,30K,12.0,0
2021-06-07 06:04:09,30K,14.0,0
2021-06-07 06:04:10,30K,13.0,0
2021-06-07 06:04:11,30K,15.0,0
2021-06-07 06:04:12,30K,16.0,0
2021-06-07 06:04:13,30K,16.0,0
2021-06-07 06:04:14,30K,15.0,0
2021-06-07 06:04:15,30K,14.0,0
2021-06-07 06:04:16,30K,16.0,0
2021-06-07 06:04:18,30K,14.0,0
2021-06-07 06:04:19,30K,15.0,0
2021-06-07 06:04:20,30K,15.0,0
2021-06-07 06:04:21,30K,14.0,0
2021-06-07 06:04:22,30K,13.0,0
2021-06-07 06:04:23,30K,12.0,0
2021-06-07 06:04:24,30K,12.0,0
2021-06-07 06:04:25,30K,13.0,0
2021-06-07 06:04:26,30K,13.0,0
2021-06-07 06:04:27,30K,15.0,0
2021-06-07 06:04:28,30K,15.0,0
2021-06-07 06:04:29,30K,16.0,0
2021-06-07 06:04:30,30K,16.0,0
2021-06-07 06:04:31,30K,16.0,0
2021-06-07 06:04:32,30K,16.0,0
2021-06-07 06:04:33,30K,17.0,0
2021-06-07 06:04:34,30K,17.0,0
2021-06-07 06:04:35,30K,19.0,0
2021-06-07 06:04:36,30K,18.0,0
2021-06-07 06:04:37,30K,16.0,0
2021-06-07 06:04:38,30K,16.0,0
2021-06-07 06:04:39,30K,16.0,0
2021-06-07 06:04:40,30K,17.0,0
2021-06-07 06:04:41,30K,17.0,0
2021-06-07 06:04:42,15K,20.0,0
2021-06-07 06:04:43,15K,22.0,0
2021-06-07 06:04:44,15K,22.0,0
2021-06-07 06:04:45,15K,24.0,0
2021-06-07 06:04:46,15K,25.0,0
2021-06-07 06:04:47,15K,25.0,0
2021-06-07 06:04:48,15K,26.0,0
2021-06-07 06:04:49,15K,29.0,0
