time,disconnect,reconnect,scanner_start,scanner_stop,scan_trigger
160.23589301109314,0,0,1,0,0
160.2379331588745,1,0,0,0,0
163.23944401741028,0,0,0,0,1
166.34919619560242,2,0,0,0,0
170.0556721687317,0,0,0,0,1
177.0954930782318,0,0,0,0,1
183.94876217842102,0,0,0,0,1
191.03175902366638,0,0,0,0,1
197.8549292087555,0,0,0,0,1
204.69223999977112,0,0,0,0,1
211.56346702575684,0,0,0,0,1
218.40410900115967,0,0,0,0,1
225.15552616119385,0,0,0,0,1
232.0874400138855,0,0,0,0,1
238.86756801605225,0,0,0,0,1
245.8315920829773,0,0,0,0,1
252.683580160141,0,0,0,0,1
259.47584199905396,0,0,0,0,1
266.2674779891968,0,0,0,0,1
273.0191841125488,0,0,0,0,1
279.77950620651245,0,0,0,0,1
286.61368799209595,0,0,0,0,1
293.59934401512146,0,0,0,0,1
300.38508319854736,0,0,0,0,1
307.22646713256836,0,0,0,0,1
314.04544615745544,0,0,0,0,1
320.87255001068115,0,0,0,0,1
327.71466302871704,0,0,0,0,1
334.5793499946594,0,0,0,0,1
341.35379004478455,0,0,0,0,1
348.2236771583557,0,0,0,0,1
355.0074620246887,0,0,0,0,1
361.7794589996338,0,0,0,0,1
368.5389680862427,0,0,0,0,1
375.5444610118866,0,0,0,0,1
382.3563301563263,0,0,0,0,1
389.1191761493683,0,0,0,0,1
395.87507915496826,0,0,0,0,1
402.7400321960449,0,0,0,0,1
409.4989731311798,0,0,0,0,1
416.24063301086426,0,0,0,0,1
423.0270140171051,0,0,0,0,1
429.80760312080383,0,0,0,0,1
436.7428071498871,0,0,0,0,1
443.5189371109009,0,0,0,0,1
450.35330510139465,0,0,0,0,1
457.180135011673,0,0,0,0,1
463.9582920074463,0,0,0,0,1
470.79998207092285,0,0,0,0,1
477.6231770515442,0,0,0,0,1
484.3990762233734,0,0,0,0,1
491.1918330192566,0,0,0,0,1
498.06357312202454,0,0,0,0,1
504.8515021800995,0,0,0,0,1
511.58058309555054,0,0,0,0,1
518.3306260108948,0,0,0,0,1
525.1941380500793,0,0,0,0,1
531.9683082103729,0,0,0,0,1
538.7230381965637,0,0,0,0,1
545.4916710853577,0,0,0,0,1
552.2626371383667,0,0,0,0,1
559.0375421047211,0,0,0,0,1
565.8549211025238,0,0,0,0,1
572.6355421543121,0,0,0,0,1
579.5121030807495,0,0,0,0,1
586.4956312179565,0,0,0,0,1
593.2420930862427,0,0,0,0,1
597.4340929985046,0,1,0,0,0
600.0312111377716,0,0,0,0,1
601.2345061302185,0,2,0,0,0
601.2347111701965,0,0,0,1,0
