node,x,y,time,state,distance,speed,acc
0,1502.8891172448343,2454.6925071388077,0.0,3,0.0,0.0,0.0
0,1408.690846971873,2488.2586489722403,10.0,3,100.0,10.0,1.0
0,1308.9600654839094,2480.92576251464,20.0,3,100.0,10.0,0.0
0,1217.1261724567153,2488.5402070115383,30.0,4,92.149,9.215,-0.079
0,1129.9128068644764,2490.9141879747904,40.0,4,87.246,8.725,-0.049
0,1037.9924590239984,2478.5480527222207,50.0,4,92.748,9.275,0.055
0,952.6562676506276,2447.296991481111,60.0,4,90.878,9.088,-0.019
0,865.5105709401905,2425.3421364691194,70.0,5,89.869,8.987,-0.01
0,785.0916529190008,2398.680775134097,80.0,5,84.723,8.472,-0.052
0,714.4759177859312,2348.682539574061,90.0,5,86.524,8.652,0.018
0,693.8231120548522,2265.6455569515133,100.0,5,85.567,8.557,-0.009
0,643.0549580242257,2197.628027107042,110.0,5,84.875,8.488,-0.007
0,627.049884839851,2120.0781603055816,120.0,4,79.184,7.918,-0.057
0,617.2162691857358,2044.3156511863936,130.0,4,76.398,7.64,-0.028
0,619.5491755132713,1965.500262205102,140.0,4,78.85,7.885,0.025
0,619.6198391785264,1884.7322602854824,150.0,4,80.768,8.077,0.019
0,605.6159642920586,1807.4776537347743,160.0,4,78.514,7.851,-0.023
0,589.0537424724231,1736.4285923026468,170.0,4,72.954,7.295,-0.056
0,578.814384381908,1664.7366859402662,180.0,3,72.419,7.242,-0.005
0,555.0354774343944,1593.7275052949835,190.0,3,74.885,7.489,0.025
0,517.0241801803666,1522.6660746535235,200.0,3,80.589,8.059,0.057
0,489.0267312768512,1442.429833461345,210.0,3,84.981,8.498,0.044
0,441.96009355284,1375.595547545517,220.0,3,81.744,8.174,-0.032
0,372.1282979158553,1350.2738810820151,230.0,3,74.281,7.428,-0.075
0,341.1003307639564,1286.276375823075,240.0,2,71.123,7.112,-0.032
0,309.8060639997691,1214.8702031895396,250.0,2,77.963,7.796,0.068
0,358.79156642835727,1147.319653607652,260.0,2,83.443,8.344,0.055
0,423.05654266675697,1099.272457058404,270.0,2,80.24,8.024,-0.032
0,486.7820304069306,1045.6344949598013,280.0,2,83.294,8.329,0.031
0,575.0907354303691,1062.8289696566112,290.0,2,89.967,8.997,0.067
0,642.7671473605932,1011.8359469863884,300.0,2,84.737,8.474,-0.052
0,696.5569977220603,944.8808364837032,310.0,2,85.886,8.589,0.012
0,769.1980467313501,904.8902939612536,320.0,1,82.921,8.292,-0.03
0,832.406093815452,851.7088052814424,330.0,1,82.605,8.261,-0.003
0,912.334940790294,826.9778210655427,340.0,1,83.667,8.367,0.011
0,999.3246880293796,805.6736891599799,350.0,1,89.56,8.956,0.059
0,1075.0183576406343,758.0978803868355,360.0,1,89.404,8.94,-0.002
0,1143.1117077069289,693.6753508287044,370.0,1,93.739,9.374,0.043
0,1184.6554453076174,612.5809257249392,380.0,0,91.116,9.112,-0.026
0,1204.443450981421,521.2505404509202,390.0,0,93.449,9.345,0.023
0,1234.1666154664342,436.3860585021707,400.0,0,89.919,8.992,-0.035
0,1248.49201814018,347.81612819312124,410.0,0,89.721,8.972,-0.002
0,1290.7037502725343,266.02303463400585,420.0,0,92.043,9.204,0.023
0,1345.1931760877978,198.4398697274808,430.0,0,86.813,8.681,-0.052
0,1394.226768998648,132.49634998365684,440.0,0,82.176,8.218,-0.046
0,1483.012540393809,110.25231332729808,450.0,0,91.53,9.153,0.094
0,1537.6566804165325,30.12960262230644,460.0,0,96.983,9.698,0.054
0,1554.4013284324772,123.95866718747824,470.0,0,95.311,9.531,-0.017
0,1595.6897378753945,205.09516298062132,480.0,0,91.038,9.104,-0.043
0,1640.2210251153392,269.6203973296708,490.0,0,78.4,7.84,-0.126
0,1711.852233970783,303.00593473154254,500.0,0,79.029,7.903,0.006
0,1787.4886415105718,329.78926209510433,510.0,0,80.238,8.024,0.012
0,1861.553658700708,340.4565954389466,520.0,0,74.829,7.483,-0.054
0,1936.2657376449165,326.3363599111276,530.0,0,76.035,7.603,0.012
0,2013.369848394023,331.11367521561914,540.0,0,77.252,7.725,0.012
0,2091.8161797241105,353.0639776713068,550.0,0,81.459,8.146,0.042
0,2169.38416749452,355.6350426653629,560.0,0,77.611,7.761,-0.039
0,2242.6269427925845,363.9198205211933,570.0,0,73.71,7.371,-0.039
0,2303.65415082018,412.59579585299537,580.0,0,78.062,7.806,0.043
0,2344.4839166407646,469.9540903108239,590.0,0,70.406,7.041,-0.076
0,2384.7554299355274,526.2074498248041,600.0,0,69.183,6.918,-0.012
0,2391.1387715123224,594.3609983583591,610.0,0,68.452,6.845,-0.007
0,2387.891828565662,661.0099709080484,620.0,0,66.728,6.673,-0.017
0,2367.3027147421203,721.137647998629,630.0,0,63.555,6.356,-0.032
0,2384.1066214089687,782.9578447491095,640.0,0,64.063,6.406,0.005
0,2364.774535463384,850.1905459619896,650.0,0,69.957,6.996,0.059
0,2313.104500348593,894.5591339033463,660.0,0,68.106,6.811,-0.019
0,2242.7646903340524,920.8419868153076,670.0,0,75.09,7.509,0.07
0,2160.350790427785,930.6303986317612,680.0,0,82.993,8.299,0.079
0,2077.2707156476404,914.5887211049966,690.0,0,84.615,8.461,0.016
0,2006.7093293585035,869.5873123717346,700.0,0,83.69,8.369,-0.009
0,1948.789047653616,817.0308754420084,710.0,0,78.211,7.821,-0.055
0,1878.9407803777024,780.2250684117458,720.0,0,78.952,7.895,0.007
0,1818.343884215447,716.4013647593073,730.0,0,88.008,8.801,0.091
0,1769.2681991332324,648.8054119861027,740.0,0,83.532,8.353,-0.045
0,1761.9754989969267,564.4057964701238,750.0,0,84.714,8.471,0.012
0,1790.2650464566118,475.88414751257005,760.0,0,92.932,9.293,0.082
0,1764.174034178393,379.9432072733623,770.0,0,99.425,9.942,0.065
0,1681.9383967291155,323.0459320019488,780.0,0,100.0,10.0,0.006
0,1637.210969395813,233.6062470508928,790.0,0,100.0,10.0,0.0
0,1561.1062333915297,168.73661503622586,800.0,0,100.0,10.0,0.0
0,1470.8409363544904,125.6996988965314,810.0,0,100.0,10.0,0.0
0,1377.211053755322,107.62899113747557,820.0,0,95.358,9.536,-0.046
0,1283.7142192398312,118.6329280389926,830.0,0,94.142,9.414,-0.012
0,1193.3208221108716,113.9468576949424,840.0,0,90.515,9.052,-0.036
0,1119.0629747694395,177.8463677274683,850.0,0,97.966,9.797,0.075
0,1049.018612144102,236.51223571748875,860.0,0,91.367,9.137,-0.066
0,987.6295115512372,301.7534085611776,870.0,0,89.583,8.958,-0.018
0,982.822717882699,393.2010936059785,880.0,0,91.574,9.157,0.02
0,916.0617580141728,457.2569765889656,890.0,0,92.521,9.252,0.01
0,832.8636254769116,508.701659246107,900.0,0,97.819,9.782,0.053
0,772.5006915787607,577.3539207255058,910.0,1,91.416,9.142,-0.064
0,688.1266848699227,601.9415557474967,920.0,1,87.884,8.788,-0.035
0,614.7635762536316,646.510045997749,930.0,1,85.84,8.584,-0.02
0,563.1105451091679,691.189477501728,940.0,1,68.296,6.83,-0.175
0,505.07368065400016,709.4197177058421,950.0,1,60.833,6.083,-0.075
0,448.56158160157406,751.002819344825,960.0,1,70.162,7.016,0.093
0,393.1212007979523,795.8611682482142,970.0,1,71.316,7.132,0.012
0,334.7947884441025,847.7239978632879,980.0,1,78.049,7.805,0.067
0,295.24911907620003,920.5874023153206,990.0,2,82.903,8.29,0.048
0,269.7857782647864,1002.576870619253,1000.0,2,85.853,8.585,0.03
