time,SSID,signal,signal_avg,rx_bitrate,tx_bitrate
6.876713037490845,ap1-ssid,-87.0,-87.0,NaN,1.0 MBit/s
7.879663944244385,ap1-ssid,-86.0,-86.5,NaN,1.0 MBit/s
8.89133095741272,ap1-ssid,-82.0,-85.0,NaN,1.0 MBit/s
9.894936800003052,ap1-ssid,-85.0,-85.0,NaN,1.0 MBit/s
10.899456977844238,ap1-ssid,-85.0,-85.0,NaN,1.0 MBit/s
11.902869939804077,ap1-ssid,-85.0,-85.0,NaN,1.0 MBit/s
12.906868934631348,ap1-ssid,-88.0,-85.42857142857143,NaN,1.0 MBit/s
13.910207986831665,ap1-ssid,-81.0,-84.875,NaN,1.0 MBit/s
14.914301872253418,ap1-ssid,-85.0,-84.88888888888889,NaN,1.0 MBit/s
15.918730974197388,ap1-ssid,-85.0,-84.9,NaN,1.0 MBit/s
16.923287868499756,ap1-ssid,-81.0,-84.3,5.5 MBit/s,1.0 MBit/s
17.926774978637695,ap1-ssid,-84.0,-84.1,5.5 MBit/s,1.0 MBit/s
18.929703950881958,ap1-ssid,-84.0,-84.3,11.0 MBit/s,1.0 MBit/s
19.933236837387085,ap1-ssid,-84.0,-84.2,11.0 MBit/s,1.0 MBit/s
20.936299800872803,ap1-ssid,-82.0,-83.9,11.0 MBit/s,1.0 MBit/s
21.939224004745483,ap1-ssid,-82.0,-83.6,11.0 MBit/s,1.0 MBit/s
22.942299842834473,ap1-ssid,-86.0,-83.4,11.0 MBit/s,1.0 MBit/s
23.945902824401855,ap1-ssid,-83.0,-83.6,11.0 MBit/s,1.0 MBit/s
24.955813884735107,ap1-ssid,-80.0,-83.1,12.0 MBit/s,1.0 MBit/s
25.959484815597534,ap1-ssid,-86.0,-83.2,12.0 MBit/s,1.0 MBit/s
26.962430000305176,ap1-ssid,-80.0,-83.1,36.0 MBit/s,1.0 MBit/s
27.96575093269348,ap1-ssid,-84.0,-83.1,12.0 MBit/s,1.0 MBit/s
28.96884799003601,ap1-ssid,-85.0,-83.2,12.0 MBit/s,1.0 MBit/s
29.971714973449707,ap1-ssid,-86.0,-83.4,12.0 MBit/s,1.0 MBit/s
30.975672006607056,ap1-ssid,-78.0,-83.0,12.0 MBit/s,1.0 MBit/s
31.979176998138428,ap1-ssid,-86.0,-83.4,24.0 MBit/s,1.0 MBit/s
32.98331093788147,ap1-ssid,-82.0,-83.0,12.0 MBit/s,1.0 MBit/s
33.98670697212219,ap1-ssid,-79.0,-82.6,12.0 MBit/s,1.0 MBit/s
34.99102783203125,ap1-ssid,-80.0,-82.6,12.0 MBit/s,1.0 MBit/s
35.994696855545044,ap1-ssid,-87.0,-82.7,12.0 MBit/s,1.0 MBit/s
37.00077486038208,ap1-ssid,-75.0,-82.2,12.0 MBit/s,1.0 MBit/s
38.004047870635986,ap1-ssid,-81.0,-81.9,12.0 MBit/s,1.0 MBit/s
39.007519006729126,ap1-ssid,-80.0,-81.4,12.0 MBit/s,1.0 MBit/s
40.01188397407532,ap1-ssid,-79.0,-80.7,6.0 MBit/s,1.0 MBit/s
41.0157208442688,ap1-ssid,-77.0,-80.6,12.0 MBit/s,1.0 MBit/s
42.01992201805115,ap1-ssid,-82.0,-80.2,12.0 MBit/s,1.0 MBit/s
43.02564883232117,ap1-ssid,-82.0,-80.2,12.0 MBit/s,1.0 MBit/s
44.033697843551636,ap1-ssid,-80.0,-80.3,12.0 MBit/s,1.0 MBit/s
45.03707695007324,ap1-ssid,-80.0,-80.3,12.0 MBit/s,1.0 MBit/s
46.03973889350891,ap1-ssid,-81.0,-79.7,12.0 MBit/s,1.0 MBit/s
47.04268288612366,ap1-ssid,-77.0,-79.9,12.0 MBit/s,1.0 MBit/s
48.04772400856018,ap1-ssid,-80.0,-79.8,12.0 MBit/s,1.0 MBit/s
49.054790019989014,ap1-ssid,-82.0,-80.0,12.0 MBit/s,1.0 MBit/s
50.05842685699463,ap1-ssid,-78.0,-79.9,11.0 MBit/s,1.0 MBit/s
51.0613648891449,ap1-ssid,-74.0,-79.6,12.0 MBit/s,1.0 MBit/s
52.06471586227417,ap1-ssid,-78.0,-79.2,12.0 MBit/s,1.0 MBit/s
53.06765699386597,ap1-ssid,-77.0,-78.7,12.0 MBit/s,1.0 MBit/s
54.07171583175659,ap1-ssid,-79.0,-78.6,12.0 MBit/s,1.0 MBit/s
55.074734926223755,ap1-ssid,-80.0,-78.6,12.0 MBit/s,1.0 MBit/s
56.07791495323181,ap1-ssid,-80.0,-78.5,12.0 MBit/s,1.0 MBit/s
57.08105802536011,ap1-ssid,-81.0,-78.9,12.0 MBit/s,1.0 MBit/s
58.08384585380554,ap1-ssid,-80.0,-78.9,12.0 MBit/s,1.0 MBit/s
59.08981990814209,ap1-ssid,-79.0,-78.6,12.0 MBit/s,1.0 MBit/s
60.09497785568237,ap1-ssid,-80.0,-78.8,18.0 MBit/s,1.0 MBit/s
61.10355496406555,ap1-ssid,-73.0,-78.7,18.0 MBit/s,1.0 MBit/s
62.10681390762329,ap1-ssid,-77.0,-78.6,36.0 MBit/s,1.0 MBit/s
63.10980200767517,ap1-ssid,-74.0,-78.3,18.0 MBit/s,1.0 MBit/s
64.11279582977295,ap1-ssid,-77.0,-78.1,18.0 MBit/s,1.0 MBit/s
65.11871194839478,ap1-ssid,-77.0,-77.8,24.0 MBit/s,1.0 MBit/s
66.12530899047852,ap1-ssid,-76.0,-77.4,18.0 MBit/s,1.0 MBit/s
67.12919497489929,ap1-ssid,-72.0,-76.5,5.5 MBit/s,1.0 MBit/s
68.13359093666077,ap1-ssid,-77.0,-76.2,18.0 MBit/s,1.0 MBit/s
69.13907194137573,ap1-ssid,-79.0,-76.2,18.0 MBit/s,1.0 MBit/s
70.14312696456909,ap1-ssid,-75.0,-75.7,18.0 MBit/s,1.0 MBit/s
71.15311884880066,ap1-ssid,-75.0,-75.9,18.0 MBit/s,1.0 MBit/s
72.15564799308777,ap1-ssid,-75.0,-75.7,18.0 MBit/s,1.0 MBit/s
73.16214299201965,ap1-ssid,-77.0,-76.0,18.0 MBit/s,1.0 MBit/s
74.16531896591187,ap1-ssid,-72.0,-75.5,18.0 MBit/s,1.0 MBit/s
75.16856598854065,ap1-ssid,-74.0,-75.2,48.0 MBit/s,1.0 MBit/s
76.1714699268341,ap1-ssid,-75.0,-75.1,18.0 MBit/s,1.0 MBit/s
