time,SSID,signal,signal_avg,rx_bitrate,tx_bitrate
6.822436809539795,ap1-ssid,-70.0,-70.0,NaN,1.0 MBit/s
7.825614929199219,ap1-ssid,-74.0,-72.0,NaN,1.0 MBit/s
8.828660011291504,ap1-ssid,-75.0,-73.0,NaN,1.0 MBit/s
9.831248998641968,ap1-ssid,-70.0,-72.25,NaN,1.0 MBit/s
10.834370851516724,ap1-ssid,-70.0,-71.8,NaN,1.0 MBit/s
11.83741283416748,ap1-ssid,-72.0,-71.83333333333333,NaN,1.0 MBit/s
12.845016956329346,ap1-ssid,-76.0,-72.42857142857143,NaN,1.0 MBit/s
13.849207878112793,ap1-ssid,-71.0,-72.25,NaN,1.0 MBit/s
14.85359001159668,ap1-ssid,-80.0,-73.11111111111111,9.0 MBit/s,1.0 MBit/s
15.857020854949951,ap1-ssid,-72.0,-73.0,9.0 MBit/s,1.0 MBit/s
16.8624210357666,ap1-ssid,-76.0,-73.6,9.0 MBit/s,1.0 MBit/s
17.865715980529785,ap1-ssid,-66.0,-72.8,9.0 MBit/s,6.0 MBit/s
18.868918895721436,ap1-ssid,-75.0,-72.8,9.0 MBit/s,6.0 MBit/s
19.871773958206177,ap1-ssid,-74.0,-73.2,9.0 MBit/s,6.0 MBit/s
20.881693840026855,ap1-ssid,-72.0,-73.4,9.0 MBit/s,18.0 MBit/s
21.88472294807434,ap1-ssid,-79.0,-74.1,9.0 MBit/s,18.0 MBit/s
22.888036966323853,ap1-ssid,-79.0,-74.4,9.0 MBit/s,18.0 MBit/s
23.898295879364014,ap1-ssid,-78.0,-75.1,9.0 MBit/s,24.0 MBit/s
24.90299081802368,ap1-ssid,-76.0,-74.7,9.0 MBit/s,24.0 MBit/s
25.906271934509277,ap1-ssid,-79.0,-75.4,9.0 MBit/s,24.0 MBit/s
26.91171097755432,ap1-ssid,-75.0,-75.3,9.0 MBit/s,24.0 MBit/s
27.91447687149048,ap1-ssid,-74.0,-76.1,9.0 MBit/s,24.0 MBit/s
28.921064853668213,ap1-ssid,-78.0,-76.4,9.0 MBit/s,24.0 MBit/s
29.924540996551514,ap1-ssid,-73.0,-76.3,9.0 MBit/s,24.0 MBit/s
30.927932024002075,ap1-ssid,-76.0,-76.7,9.0 MBit/s,36.0 MBit/s
31.931809902191162,ap1-ssid,-83.0,-77.1,9.0 MBit/s,24.0 MBit/s
32.934682846069336,ap1-ssid,-76.0,-76.8,9.0 MBit/s,54.0 MBit/s
33.93832492828369,ap1-ssid,-74.0,-76.4,9.0 MBit/s,36.0 MBit/s
34.94216585159302,ap1-ssid,-77.0,-76.5,9.0 MBit/s,36.0 MBit/s
35.945971965789795,ap1-ssid,-73.0,-75.9,9.0 MBit/s,36.0 MBit/s
36.950230836868286,ap1-ssid,-71.0,-75.5,9.0 MBit/s,36.0 MBit/s
37.95791482925415,ap1-ssid,-74.0,-75.5,9.0 MBit/s,12.0 MBit/s
38.961474895477295,ap1-ssid,-82.0,-75.9,9.0 MBit/s,36.0 MBit/s
39.96487998962402,ap1-ssid,-77.0,-76.3,9.0 MBit/s,24.0 MBit/s
40.96839499473572,ap1-ssid,-78.0,-76.5,9.0 MBit/s,24.0 MBit/s
41.97102093696594,ap1-ssid,-76.0,-75.8,9.0 MBit/s,24.0 MBit/s
42.974480867385864,ap1-ssid,-73.0,-75.5,9.0 MBit/s,24.0 MBit/s
43.98284983634949,ap1-ssid,-79.0,-76.0,9.0 MBit/s,24.0 MBit/s
44.9868528842926,ap1-ssid,-75.0,-75.8,9.0 MBit/s,24.0 MBit/s
45.99216103553772,ap1-ssid,-76.0,-76.1,9.0 MBit/s,24.0 MBit/s
46.99554681777954,ap1-ssid,-81.0,-77.1,9.0 MBit/s,24.0 MBit/s
47.99920988082886,ap1-ssid,-74.0,-77.1,9.0 MBit/s,24.0 MBit/s
49.002537965774536,ap1-ssid,-83.0,-77.2,9.0 MBit/s,24.0 MBit/s
50.0059540271759,ap1-ssid,-80.0,-77.5,9.0 MBit/s,18.0 MBit/s
51.01508688926697,ap1-ssid,-80.0,-77.7,9.0 MBit/s,18.0 MBit/s
52.018473863601685,ap1-ssid,-83.0,-78.4,9.0 MBit/s,18.0 MBit/s
53.021992921829224,ap1-ssid,-82.0,-79.3,9.0 MBit/s,36.0 MBit/s
54.02581286430359,ap1-ssid,-81.0,-79.5,9.0 MBit/s,18.0 MBit/s
55.03224492073059,ap1-ssid,-80.0,-80.0,9.0 MBit/s,18.0 MBit/s
56.03503489494324,ap1-ssid,-81.0,-80.5,9.0 MBit/s,18.0 MBit/s
57.03901290893555,ap1-ssid,-74.0,-79.8,9.0 MBit/s,18.0 MBit/s
58.04206991195679,ap1-ssid,-85.0,-80.9,9.0 MBit/s,18.0 MBit/s
