time,SSID,signal,signal_avg,rx_bitrate,tx_bitrate
6.7483110427856445,ap1-ssid,-74.0,-74.0,NaN,9.0 MBit/s
7.751383066177368,ap1-ssid,-76.0,-75.0,NaN,9.0 MBit/s
8.754454135894775,ap1-ssid,-74.0,-74.66666666666667,NaN,9.0 MBit/s
9.756572961807251,ap1-ssid,-69.0,-73.25,NaN,9.0 MBit/s
10.7601900100708,ap1-ssid,-76.0,-73.8,NaN,9.0 MBit/s
11.776713132858276,ap1-ssid,-76.0,-74.16666666666667,NaN,9.0 MBit/s
12.78013801574707,ap1-ssid,-77.0,-74.57142857142857,NaN,9.0 MBit/s
13.783393144607544,ap1-ssid,-75.0,-74.625,NaN,9.0 MBit/s
14.786309003829956,ap1-ssid,-76.0,-74.77777777777777,NaN,9.0 MBit/s
15.788746118545532,ap1-ssid,-72.0,-74.5,NaN,9.0 MBit/s
16.792245149612427,ap1-ssid,-71.0,-74.2,48.0 MBit/s,9.0 MBit/s
17.795292139053345,ap1-ssid,-78.0,-74.4,48.0 MBit/s,9.0 MBit/s
18.798707008361816,ap1-ssid,-77.0,-74.7,54.0 MBit/s,9.0 MBit/s
19.80213212966919,ap1-ssid,-74.0,-75.2,54.0 MBit/s,9.0 MBit/s
20.804675102233887,ap1-ssid,-77.0,-75.3,48.0 MBit/s,9.0 MBit/s
21.807955026626587,ap1-ssid,-76.0,-75.3,9.0 MBit/s,9.0 MBit/s
22.811366081237793,ap1-ssid,-80.0,-75.6,2.0 MBit/s,9.0 MBit/s
23.815953969955444,ap1-ssid,-76.0,-75.7,48.0 MBit/s,9.0 MBit/s
24.819844007492065,ap1-ssid,-80.0,-76.1,48.0 MBit/s,9.0 MBit/s
25.822800159454346,ap1-ssid,-71.0,-76.0,48.0 MBit/s,9.0 MBit/s
26.82846713066101,ap1-ssid,-76.0,-76.5,18.0 MBit/s,9.0 MBit/s
27.837743043899536,ap1-ssid,-73.0,-76.0,18.0 MBit/s,9.0 MBit/s
28.842286109924316,ap1-ssid,-72.0,-75.5,18.0 MBit/s,9.0 MBit/s
29.852715015411377,ap1-ssid,-80.0,-76.1,24.0 MBit/s,9.0 MBit/s
30.855631113052368,ap1-ssid,-78.0,-76.2,24.0 MBit/s,9.0 MBit/s
31.859325170516968,ap1-ssid,-81.0,-76.7,24.0 MBit/s,9.0 MBit/s
32.86361598968506,ap1-ssid,-77.0,-76.4,36.0 MBit/s,9.0 MBit/s
33.86660194396973,ap1-ssid,-80.0,-76.8,36.0 MBit/s,9.0 MBit/s
34.870150089263916,ap1-ssid,-76.0,-76.4,1.0 MBit/s,9.0 MBit/s
35.873939037323,ap1-ssid,-73.0,-76.6,24.0 MBit/s,9.0 MBit/s
36.885481119155884,ap1-ssid,-77.0,-76.7,24.0 MBit/s,9.0 MBit/s
37.8884379863739,ap1-ssid,-78.0,-77.2,24.0 MBit/s,9.0 MBit/s
38.8918080329895,ap1-ssid,-75.0,-77.5,24.0 MBit/s,9.0 MBit/s
39.89525008201599,ap1-ssid,-72.0,-76.7,24.0 MBit/s,9.0 MBit/s
40.89831495285034,ap1-ssid,-73.0,-76.2,24.0 MBit/s,9.0 MBit/s
41.901209115982056,ap1-ssid,-82.0,-76.3,24.0 MBit/s,9.0 MBit/s
42.90920901298523,ap1-ssid,-78.0,-76.4,24.0 MBit/s,9.0 MBit/s
43.91455912590027,ap1-ssid,-76.0,-76.0,54.0 MBit/s,9.0 MBit/s
44.91674494743347,ap1-ssid,-78.0,-76.2,24.0 MBit/s,9.0 MBit/s
45.919520139694214,ap1-ssid,-79.0,-76.8,11.0 MBit/s,9.0 MBit/s
46.92260813713074,ap1-ssid,-75.0,-76.6,24.0 MBit/s,9.0 MBit/s
47.9267201423645,ap1-ssid,-82.0,-77.0,24.0 MBit/s,9.0 MBit/s
48.9304621219635,ap1-ssid,-79.0,-77.4,24.0 MBit/s,9.0 MBit/s
49.9328031539917,ap1-ssid,-79.0,-78.1,24.0 MBit/s,9.0 MBit/s
50.936115026474,ap1-ssid,-76.0,-78.4,24.0 MBit/s,9.0 MBit/s
51.9403030872345,ap1-ssid,-76.0,-77.8,24.0 MBit/s,9.0 MBit/s
52.94598412513733,ap1-ssid,-83.0,-78.3,9.0 MBit/s,9.0 MBit/s
53.950775146484375,ap1-ssid,-85.0,-79.2,24.0 MBit/s,9.0 MBit/s
54.95404005050659,ap1-ssid,-82.0,-79.6,24.0 MBit/s,9.0 MBit/s
